source,target
3169,5289
31921,56789
140486,21000
140486,20762
140486,2590
34789,40768
21015,21258
234445,40764
282753,6458
151269,28207
1445,99509
249986,99509
191816,379282
32535,38441
32693,84768
20762,9684
135790,6458
20104,24547
128417,24106
127501,250080
140486,5720
140486,40768
192899,58448
21015,27945
264287,40768
151269,36860
130535,7722
154486,251049
16707,5289
251049,84768
158208,2834313
140486,27945
21171,31921
216523,55195
25668,68749
140692,36860
250080,99509
21000,56789
21000,9684
102675,156461
197366,3169
21258,25668
21258,68749
379282,38437
101117,296773
26104,38441
14405,26641
210702,2187
199801,9413
13802,1763
283530,5865
216523,40768
104792,5720
38441,40052
24547,32537
191816,99202
103369,208687
1763,208687
24106,27945
19758,94486
19758,40768
192899,31921
104792,144143
140692,2834313
250080,5289
208687,53741
21000,23939
151331,94416
12390,144143
145486,156461
19689,6458
1763,5720
251049,25668
32860,5209
156461,222639
156461,21015
42788,62960
40768,84768
264287,32537
140692,9684
140692,144143
2590,40768
21000,217055
32537,379282
24547,28207
138498,99202
217055,38106
125159,379282
205091,2623481
21068,27945
110793,32535
13802,34789
144143,210702
144143,31921
140486,264287
282753,283530
264287,87812
264287,6458
140692,154972
108673,154486
100124,43389
197366,26641
19689,38437
210702,43389
156461,34789
144143,25668
154972,192899
25668,43389
140692,21000
140692,283530
208687,3169
130535,56789
111428,99202
14382,19689
100124,21171
39599,50988
13802,96215
27144,5865
154972,282753
222639,54379
151269,6458
249986,26641
107059,296773
191816,55195
247365,686372
27945,38175
19689,21258
210702,38175
144143,154972
129936,283530
129936,68749
15351,197366
264287,379282
151269,32537
14382,197366
247365,264287
16707,32537
16707,27945
21068,89176
21068,250080
144143,24106
154972,36860
26641,84768
26641,38106
140692,55195
1445,192899
36860,39599
36860,38441
121421,282753
100124,31921
12390,379282
103369,82442
18127,4124
1763,27945
251049,38106
156461,9684
129936,192899
154972,40768
21171,228957
28207,5720
208687,271504
21000,39890
2623481,38175
36860,5600
100124,144143
197366,21171
369277,40768
205091,82442
18127,27144
194463,68749
264294,39890
144143,19689
129936,2590
140486,156461
154972,31921
125290,1763
140692,156461
9105,99202
10725,250080
154486,21000
379282,82442
103369,53741
5209,93881
125159,24547
125885,38175
21068,39320
19689,26641
13802,21068
21577,24547
26641,5600
157722,21015
130535,251049
1445,40768
21000,54379
21000,89176
107059,138498
16291,25668
24547,270001
448993,45378
32535,4897
128417,33832
1763,2623481
1763,24547
1763,28207
104792,282753
282753,99202
1445,31921
102675,21000
102675,32693
32537,38106
270001,38437
21258,31921
249467,26641
27945,5865
110793,154665
1763,4124
125290,194463
21000,32693
14382,210702
197366,290760
16707,23939
18127,5865
251049,68749
20767,24095
2590,27945
130535,210248
1445,56789
102675,210702
43389,9413
24547,3169
24547,26641
17823,79937
191816,282753
103369,24547
101117,93881
135790,82442
19689,24547
1763,379282
1763,5865
210702,2623481
156461,283530
144143,39320
129936,264287
19758,250080
283530,38175
26641,379282
192899,2623481
15351,99202
151269,40768
34603,7722
217055,89176
217055,25668
101117,2623481
5720,94416
125159,24106
376297,38175
110793,250080
210702,54379
192899,82442
208687,43389
249986,6458
2623481,270001
100124,264294
171072,197366
89176,89248
379282,4124
101117,2187
110793,5209
1763,21000
144143,283530
14158,197366
26641,6386
192899,296773
125290,138498
151269,24547
250080,5209
249986,40768
21000,247365
21000,26641
39599,5720
24547,2623481
12390,21015
21258,25865
138498,14158
32535,9413
145486,21577
5720,89176
190107,40768
210248,58448
376297,54379
210702,290760
13802,6458
17116,6384
23939,94416
282753,84768
282753,369277
21000,271504
21000,264294
211355,4124
270001,28207
24547,6386
2834313,4124
139136,162427
125159,89176
264294,38437
144143,32273
129936,40768
104792,379282
26134,5720
125159,36860
21068,247365
156461,264287
140486,251049
192899,234445
288643,288646
2623481,376297
121421,156461
12390,25668
17823,24106
138498,6458
194463,55195
154972,283530
21171,50988
21171,264287
28207,39599
21015,5720
21015,210702
264287,26641
270001,32537
197366,264294
197366,222639
379282,40052
156461,56789
